LSOA code,local authority code,local authority name,All households ,Detached,Semi-detached,Terraced,Purpose built flat,Flat in a converted/ shared house (includes all households in shared dwellings),Flat in a commercial building,Caravan / other mobile or temporary structure
E01000042,E09000002,Barking and Dagenham,679,30,81,236,318,12,1,1
E01000043,E09000002,Barking and Dagenham,461,21,248,133,54,5,0,0
E01000044,E09000002,Barking and Dagenham,629,52,113,379,61,23,1,0
E01000045,E09000002,Barking and Dagenham,602,30,111,351,94,10,6,0
E01000046,E09000002,Barking and Dagenham,654,30,144,402,66,10,2,0
E01000049,E09000002,Barking and Dagenham,643,15,51,115,446,12,3,1
E01000050,E09000002,Barking and Dagenham,615,34,70,274,213,8,16,0
E01000051,E09000002,Barking and Dagenham,725,4,12,11,661,35,1,1
E01000052,E09000002,Barking and Dagenham,769,48,163,428,101,27,2,0
E01000053,E09000002,Barking and Dagenham,645,26,104,274,215,10,16,0
E01000054,E09000002,Barking and Dagenham,638,40,115,436,36,10,1,0
E01000055,E09000002,Barking and Dagenham,560,25,103,400,27,5,0,0
E01000056,E09000002,Barking and Dagenham,573,23,89,364,85,11,1,0
E01000057,E09000002,Barking and Dagenham,537,19,100,328,71,9,10,0
E01000058,E09000002,Barking and Dagenham,690,37,135,410,95,11,2,0
E01000059,E09000002,Barking and Dagenham,578,33,80,433,21,10,0,1
E01000060,E09000002,Barking and Dagenham,770,20,172,259,304,10,5,0
E01000061,E09000002,Barking and Dagenham,668,5,10,17,621,14,1,0
E01000062,E09000002,Barking and Dagenham,761,23,219,390,112,16,1,0
E01000063,E09000002,Barking and Dagenham,635,24,126,431,21,31,2,0
E01000064,E09000002,Barking and Dagenham,709,23,178,328,158,6,16,0
E01000065,E09000002,Barking and Dagenham,774,31,109,376,237,21,0,0
E01000066,E09000002,Barking and Dagenham,683,42,136,276,221,6,2,0
E01000067,E09000002,Barking and Dagenham,679,17,118,327,214,3,0,0
E01000068,E09000002,Barking and Dagenham,462,26,114,268,8,46,0,0
E01000069,E09000002,Barking and Dagenham,631,19,204,380,16,11,1,0
E01000070,E09000002,Barking and Dagenham,480,15,133,246,63,7,16,0
E01000071,E09000002,Barking and Dagenham,785,26,165,377,207,7,3,0
E01000072,E09000002,Barking and Dagenham,784,31,119,367,221,24,22,0
E01000073,E09000002,Barking and Dagenham,627,36,110,430,28,23,0,0
E01000074,E09000002,Barking and Dagenham,629,27,110,405,71,15,0,1
E01000075,E09000002,Barking and Dagenham,622,36,297,261,13,6,9,0
E01000076,E09000002,Barking and Dagenham,710,35,130,442,74,28,1,0
E01000077,E09000002,Barking and Dagenham,560,23,96,367,37,17,20,0
E01000078,E09000002,Barking and Dagenham,649,23,118,407,80,7,14,0
E01000079,E09000002,Barking and Dagenham,609,23,105,406,50,23,1,1
E01000080,E09000002,Barking and Dagenham,594,34,109,378,57,14,1,1
E01000081,E09000002,Barking and Dagenham,648,24,120,463,23,16,2,0
E01000082,E09000002,Barking and Dagenham,672,27,127,388,90,30,10,0
E01000083,E09000002,Barking and Dagenham,629,24,176,367,50,12,0,0
E01000084,E09000002,Barking and Dagenham,517,22,79,371,25,11,9,0
E01000085,E09000002,Barking and Dagenham,640,25,92,375,120,9,19,0
E01000086,E09000002,Barking and Dagenham,508,36,69,381,10,12,0,0
E01000087,E09000002,Barking and Dagenham,503,17,184,201,66,10,25,0
E01000088,E09000002,Barking and Dagenham,640,27,102,378,112,18,3,0
E01000089,E09000002,Barking and Dagenham,612,24,107,423,23,31,0,4
E01000090,E09000002,Barking and Dagenham,549,34,125,323,22,44,1,0
E01000091,E09000002,Barking and Dagenham,633,31,80,209,286,25,2,0
E01000093,E09000002,Barking and Dagenham,642,13,66,157,390,4,11,1
E01000094,E09000002,Barking and Dagenham,517,22,91,106,288,10,0,0
E01000095,E09000002,Barking and Dagenham,549,29,170,300,45,2,3,0
E01000096,E09000002,Barking and Dagenham,639,16,48,159,397,14,4,1
E01000097,E09000002,Barking and Dagenham,708,36,153,398,98,21,1,1
E01000098,E09000002,Barking and Dagenham,625,28,235,237,87,17,21,0
E01000099,E09000002,Barking and Dagenham,666,28,132,463,31,12,0,0
E01000100,E09000002,Barking and Dagenham,615,23,110,424,33,25,0,0
E01000101,E09000002,Barking and Dagenham,567,26,108,370,42,16,5,0
E01000102,E09000002,Barking and Dagenham,625,23,96,416,73,16,1,0
E01000103,E09000002,Barking and Dagenham,600,17,345,47,182,9,0,0
E01000104,E09000002,Barking and Dagenham,739,42,76,104,504,8,5,0
E01000105,E09000002,Barking and Dagenham,915,24,91,337,428,13,22,0
E01000106,E09000002,Barking and Dagenham,916,20,103,146,614,16,16,1
E01000107,E09000002,Barking and Dagenham,601,77,131,280,97,15,1,0
E01000108,E09000002,Barking and Dagenham,652,20,162,245,203,6,16,0
E01000110,E09000002,Barking and Dagenham,501,34,156,252,40,16,3,0
E01000111,E09000002,Barking and Dagenham,732,31,119,227,324,31,0,0
E01000112,E09000002,Barking and Dagenham,739,21,110,270,275,33,30,0
E01000113,E09000002,Barking and Dagenham,633,17,79,372,72,69,24,0
E01000114,E09000002,Barking and Dagenham,758,37,133,449,79,29,31,0
E01032580,E09000002,Barking and Dagenham,471,25,86,269,33,18,40,0
E01033587,E09000002,Barking and Dagenham,631,1,7,14,604,5,0,0
E01034469,E09000002,Barking and Dagenham,120,6,45,66,3,0,0,0
E01034470,E09000002,Barking and Dagenham,488,18,84,345,24,8,9,0
E01034471,E09000002,Barking and Dagenham,367,13,63,113,127,34,17,0
E01034472,E09000002,Barking and Dagenham,133,1,5,2,124,1,0,0
E01034473,E09000002,Barking and Dagenham,303,19,19,78,141,19,27,0
E01034474,E09000002,Barking and Dagenham,800,4,13,25,692,17,48,1
E01034475,E09000002,Barking and Dagenham,578,20,107,284,157,4,6,0
E01034476,E09000002,Barking and Dagenham,231,9,37,108,72,4,1,0
E01034477,E09000002,Barking and Dagenham,166,8,26,70,60,2,0,0
E01034478,E09000002,Barking and Dagenham,0,0,0,0,0,0,0,0
E01034479,E09000002,Barking and Dagenham,1262,3,14,42,1173,25,4,1
E01000115,E09000003,Barnet,485,125,335,14,8,2,1,0
E01000116,E09000003,Barnet,623,13,261,286,23,8,32,0
E01000117,E09000003,Barnet,762,20,390,141,178,19,14,0
E01000118,E09000003,Barnet,709,18,328,262,84,17,0,0
E01000119,E09000003,Barnet,607,64,371,144,18,10,0,0
E01000120,E09000003,Barnet,505,26,377,83,6,10,3,0
E01000121,E09000003,Barnet,501,14,120,219,138,10,0,0
E01000122,E09000003,Barnet,522,25,418,39,36,3,0,1
E01000123,E09000003,Barnet,685,32,217,273,126,33,4,0
E01000124,E09000003,Barnet,660,20,84,214,275,55,12,0
E01000126,E09000003,Barnet,726,26,100,186,389,24,1,0
E01000127,E09000003,Barnet,514,17,88,278,112,19,0,0
E01000128,E09000003,Barnet,624,25,210,289,76,22,2,0
E01000129,E09000003,Barnet,624,9,70,167,288,30,59,1
E01000130,E09000003,Barnet,570,29,93,253,175,18,2,0
E01000131,E09000003,Barnet,634,22,310,76,207,18,1,0
E01000132,E09000003,Barnet,495,29,96,291,65,14,0,0
E01000133,E09000003,Barnet,565,34,117,314,63,35,2,0
E01000134,E09000003,Barnet,625,22,97,318,174,14,0,0
E01000135,E09000003,Barnet,541,117,238,14,87,83,2,0
E01000136,E09000003,Barnet,563,209,124,13,116,98,3,0
E01000137,E09000003,Barnet,669,10,41,111,459,46,2,0
E01000138,E09000003,Barnet,523,74,263,68,48,70,0,0
E01000139,E09000003,Barnet,560,74,136,27,256,56,11,0
E01000140,E09000003,Barnet,683,53,49,106,309,122,44,0
E01000141,E09000003,Barnet,864,15,98,186,310,217,36,2
E01000142,E09000003,Barnet,950,21,244,111,487,86,1,0
E01000143,E09000003,Barnet,538,17,102,119,256,32,11,1
E01000144,E09000003,Barnet,607,35,169,8,184,194,17,0
E01000145,E09000003,Barnet,444,46,272,28,12,86,0,0
E01000146,E09000003,Barnet,744,36,164,6,228,209,101,0
E01000147,E09000003,Barnet,544,33,433,8,32,33,5,0
E01000150,E09000003,Barnet,744,17,226,195,277,27,2,0
E01000151,E09000003,Barnet,617,12,21,94,469,16,4,1
E01000152,E09000003,Barnet,564,15,47,123,362,14,3,0
E01000153,E09000003,Barnet,620,23,91,212,283,10,1,0
E01000154,E09000003,Barnet,501,19,42,148,285,7,0,0
E01000156,E09000003,Barnet,751,39,186,147,164,189,26,0
E01000157,E09000003,Barnet,689,22,89,122,376,78,0,2
E01000158,E09000003,Barnet,718,23,146,183,195,164,5,2
E01000159,E09000003,Barnet,645,63,339,39,183,20,1,0
E01000160,E09000003,Barnet,923,36,114,192,374,200,7,0
E01000161,E09000003,Barnet,556,23,68,137,235,83,10,0
E01000162,E09000003,Barnet,552,18,256,124,104,18,32,0
E01000163,E09000003,Barnet,759,11,50,103,556,36,3,0
E01000164,E09000003,Barnet,648,21,165,106,330,24,2,0
E01000165,E09000003,Barnet,707,62,137,272,230,6,0,0
E01000166,E09000003,Barnet,648,74,305,65,185,12,7,0
E01000167,E09000003,Barnet,522,16,263,44,154,44,1,0
E01000168,E09000003,Barnet,576,138,410,10,8,9,1,0
E01000169,E09000003,Barnet,670,140,158,105,184,82,1,0
E01000170,E09000003,Barnet,656,98,231,97,120,93,15,2
E01000171,E09000003,Barnet,856,24,113,141,416,120,42,0
E01000172,E09000003,Barnet,602,58,292,162,79,11,0,0
E01000173,E09000003,Barnet,617,15,118,367,103,12,2,0
E01000174,E09000003,Barnet,766,22,229,94,306,67,48,0
E01000175,E09000003,Barnet,618,71,324,82,114,20,7,0
E01000176,E09000003,Barnet,698,26,79,225,325,40,3,0
E01000177,E09000003,Barnet,690,16,114,273,195,80,12,0
E01000178,E09000003,Barnet,695,20,181,149,211,116,18,0
E01000179,E09000003,Barnet,763,11,51,217,360,124,0,0
E01000180,E09000003,Barnet,689,19,115,92,402,55,6,0
E01000181,E09000003,Barnet,669,19,120,210,74,174,72,0
E01000182,E09000003,Barnet,746,6,34,296,201,182,27,0
E01000183,E09000003,Barnet,584,56,175,74,236,33,10,0
E01000184,E09000003,Barnet,503,13,60,157,260,11,2,0
E01000185,E09000003,Barnet,606,10,22,30,518,23,3,0
E01000186,E09000003,Barnet,501,216,260,7,15,3,0,0
E01000187,E09000003,Barnet,593,108,295,40,145,4,1,0
E01000188,E09000003,Barnet,516,271,193,7,42,3,0,0
E01000189,E09000003,Barnet,711,14,29,32,615,18,3,0
E01000190,E09000003,Barnet,546,129,297,32,83,4,1,0
E01000191,E09000003,Barnet,530,136,229,13,132,10,10,0
E01000192,E09000003,Barnet,683,139,185,17,258,22,62,0
E01000193,E09000003,Barnet,594,90,291,22,142,45,4,0
E01000194,E09000003,Barnet,610,31,300,56,122,42,59,0
E01000195,E09000003,Barnet,697,23,163,193,304,12,1,1
E01000196,E09000003,Barnet,896,19,64,36,524,212,41,0
E01000197,E09000003,Barnet,707,26,216,126,58,279,2,0
E01000198,E09000003,Barnet,685,93,313,34,228,15,2,0
E01000199,E09000003,Barnet,671,105,200,9,321,25,11,0
E01000200,E09000003,Barnet,863,73,159,57,467,104,3,0
E01000201,E09000003,Barnet,517,271,93,11,114,22,6,0
E01000202,E09000003,Barnet,648,107,245,8,122,162,4,0
E01000203,E09000003,Barnet,613,92,108,17,364,30,2,0
E01000204,E09000003,Barnet,687,72,250,30,189,134,12,0
E01000205,E09000003,Barnet,619,78,332,166,36,5,2,0
E01000206,E09000003,Barnet,514,281,64,12,132,20,5,0
E01000207,E09000003,Barnet,608,148,177,21,210,9,43,0
E01000208,E09000003,Barnet,619,112,222,10,253,22,0,0
E01000209,E09000003,Barnet,747,56,248,316,111,14,2,0
E01000210,E09000003,Barnet,600,69,276,30,207,14,4,0
E01000211,E09000003,Barnet,861,15,105,66,513,63,98,1
E01000212,E09000003,Barnet,672,118,267,132,59,91,5,0
E01000213,E09000003,Barnet,465,222,169,6,63,4,1,0
E01000214,E09000003,Barnet,574,17,76,56,370,51,4,0
E01000215,E09000003,Barnet,680,94,213,25,284,57,7,0
E01000216,E09000003,Barnet,684,123,253,27,153,121,7,0
E01000217,E09000003,Barnet,521,124,190,33,62,105,7,0
E01000218,E09000003,Barnet,573,71,203,13,166,101,19,0
E01000219,E09000003,Barnet,581,29,189,131,65,164,3,0
E01000220,E09000003,Barnet,593,20,179,96,101,196,1,0
E01000221,E09000003,Barnet,485,9,95,99,268,10,4,0
E01000222,E09000003,Barnet,506,27,366,68,11,34,0,0
E01000223,E09000003,Barnet,478,27,125,230,87,8,1,0
E01000224,E09000003,Barnet,524,26,419,8,20,44,7,0
E01000225,E09000003,Barnet,529,140,217,7,124,40,1,0
E01000226,E09000003,Barnet,630,34,158,309,87,39,3,0
E01000227,E09000003,Barnet,603,25,533,7,18,20,0,0
E01000228,E09000003,Barnet,475,108,258,59,35,15,0,0
E01000229,E09000003,Barnet,600,21,294,98,166,21,0,0
E01000230,E09000003,Barnet,650,140,331,7,149,13,10,0
E01000231,E09000003,Barnet,654,26,359,9,198,61,1,0
E01000232,E09000003,Barnet,706,124,320,87,143,31,1,0
E01000233,E09000003,Barnet,635,31,441,22,87,31,23,0
E01000234,E09000003,Barnet,650,132,226,85,128,73,5,1
E01000235,E09000003,Barnet,582,55,140,266,60,35,26,0
E01000236,E09000003,Barnet,674,56,161,9,420,25,3,0
E01000237,E09000003,Barnet,740,120,101,69,334,92,24,0
E01000238,E09000003,Barnet,615,32,184,198,92,105,4,0
E01000239,E09000003,Barnet,877,36,206,44,538,42,11,0
E01000240,E09000003,Barnet,582,56,379,9,55,79,4,0
E01000241,E09000003,Barnet,696,146,152,6,240,151,0,1
E01000242,E09000003,Barnet,597,139,114,37,264,41,2,0
E01000243,E09000003,Barnet,791,33,115,62,359,200,22,0
E01000244,E09000003,Barnet,582,75,124,105,136,121,21,0
E01000245,E09000003,Barnet,811,44,40,41,624,40,21,1
E01000246,E09000003,Barnet,654,164,285,15,164,26,0,0
E01000247,E09000003,Barnet,746,85,190,155,255,54,7,0
E01000248,E09000003,Barnet,666,42,152,269,97,97,9,0
E01000249,E09000003,Barnet,572,168,244,90,50,19,1,0
E01000250,E09000003,Barnet,979,88,292,97,352,87,63,0
E01000251,E09000003,Barnet,947,39,133,76,541,131,26,1
E01000252,E09000003,Barnet,753,51,207,45,381,69,0,0
E01000253,E09000003,Barnet,597,480,64,41,3,4,5,0
E01000254,E09000003,Barnet,622,160,141,239,52,24,1,5
E01000255,E09000003,Barnet,527,63,246,89,106,18,5,0
E01000256,E09000003,Barnet,656,196,206,69,178,6,1,0
E01000257,E09000003,Barnet,724,39,101,68,475,35,6,0
E01000258,E09000003,Barnet,696,131,178,120,122,130,15,0
E01000259,E09000003,Barnet,980,57,544,124,221,24,10,0
E01000260,E09000003,Barnet,761,46,326,142,186,56,5,0
E01000261,E09000003,Barnet,646,172,276,54,85,55,4,0
E01000263,E09000003,Barnet,499,346,115,20,9,9,0,0
E01000264,E09000003,Barnet,634,131,138,29,170,77,89,0
E01000265,E09000003,Barnet,791,28,186,119,311,138,9,0
E01000266,E09000003,Barnet,511,180,275,20,14,18,3,1
E01000267,E09000003,Barnet,567,32,377,25,104,19,10,0
E01000268,E09000003,Barnet,745,62,112,12,440,68,51,0
E01000269,E09000003,Barnet,535,27,301,143,55,9,0,0
E01000270,E09000003,Barnet,626,84,208,38,265,30,1,0
E01000271,E09000003,Barnet,582,171,196,37,164,9,5,0
E01000272,E09000003,Barnet,468,289,75,9,75,20,0,0
E01000273,E09000003,Barnet,648,85,116,71,327,24,25,0
E01000274,E09000003,Barnet,699,46,357,39,199,46,12,0
E01000275,E09000003,Barnet,644,66,112,152,285,27,2,0
E01000276,E09000003,Barnet,506,120,376,4,3,3,0,0
E01000277,E09000003,Barnet,777,35,55,66,570,51,0,0
E01000278,E09000003,Barnet,498,49,431,3,10,3,2,0
E01000279,E09000003,Barnet,513,388,80,14,14,17,0,0
E01000280,E09000003,Barnet,497,238,241,6,6,1,5,0
E01000281,E09000003,Barnet,480,29,97,154,147,17,36,0
E01000282,E09000003,Barnet,639,46,338,114,95,43,2,1
E01000283,E09000003,Barnet,480,171,287,11,5,3,3,0
E01000284,E09000003,Barnet,780,38,89,109,482,61,1,0
E01000285,E09000003,Barnet,610,72,181,202,136,18,1,0
E01000286,E09000003,Barnet,654,27,231,252,132,12,0,0
E01000287,E09000003,Barnet,622,19,283,171,116,26,7,0
E01000288,E09000003,Barnet,568,11,373,103,74,7,0,0
E01000289,E09000003,Barnet,631,30,97,257,240,5,2,0
E01000290,E09000003,Barnet,674,188,206,74,69,4,2,131
E01000291,E09000003,Barnet,602,12,180,84,316,8,1,1
E01000292,E09000003,Barnet,629,103,217,51,222,29,7,0
E01000293,E09000003,Barnet,642,95,349,69,56,58,14,1
E01000294,E09000003,Barnet,672,95,202,68,275,27,5,0
E01000295,E09000003,Barnet,686,21,180,183,118,175,9,0
E01000296,E09000003,Barnet,734,23,141,55,318,168,27,2
E01000297,E09000003,Barnet,554,13,67,225,88,157,4,0
E01000298,E09000003,Barnet,733,22,153,80,211,196,71,0
E01000299,E09000003,Barnet,782,14,52,186,336,142,52,0
E01000300,E09000003,Barnet,667,25,142,164,191,141,3,1
E01000301,E09000003,Barnet,528,52,353,18,61,33,11,0
E01000302,E09000003,Barnet,840,26,56,52,542,145,19,0
E01000303,E09000003,Barnet,540,30,322,98,45,45,0,0
E01000304,E09000003,Barnet,621,23,152,86,143,215,2,0
E01000305,E09000003,Barnet,637,16,159,46,328,43,42,3
E01000306,E09000003,Barnet,558,18,95,213,71,161,0,0
E01000307,E09000003,Barnet,530,27,265,168,34,36,0,0
E01000308,E09000003,Barnet,669,10,64,109,468,16,2,0
E01000309,E09000003,Barnet,619,175,138,13,167,125,1,0
E01000310,E09000003,Barnet,701,122,169,105,187,77,41,0
E01000311,E09000003,Barnet,470,253,127,7,56,23,4,0
E01000312,E09000003,Barnet,710,17,131,323,231,6,1,1
E01000313,E09000003,Barnet,672,36,76,107,292,134,26,1
E01000314,E09000003,Barnet,658,229,105,12,192,101,19,0
E01000315,E09000003,Barnet,614,34,228,219,127,6,0,0
E01000316,E09000003,Barnet,874,25,149,199,423,74,4,0
E01000317,E09000003,Barnet,657,18,165,64,271,128,11,0
E01000318,E09000003,Barnet,610,23,307,196,28,47,9,0
E01000319,E09000003,Barnet,529,24,148,244,34,77,2,0
E01000320,E09000003,Barnet,628,54,173,168,176,37,20,0
E01000321,E09000003,Barnet,700,16,98,175,177,194,40,0
E01000322,E09000003,Barnet,774,39,120,33,477,102,3,0
E01000323,E09000003,Barnet,865,16,116,134,337,198,64,0
E01000324,E09000003,Barnet,655,26,268,148,163,44,5,1
E01033911,E09000003,Barnet,540,145,300,39,37,18,1,0
E01033912,E09000003,Barnet,212,10,46,36,117,3,0,0
E01033913,E09000003,Barnet,536,9,30,78,401,10,8,0
E01033914,E09000003,Barnet,479,24,62,191,184,16,2,0
E01033915,E09000003,Barnet,0,0,0,0,0,0,0,0
E01033916,E09000003,Barnet,703,15,37,114,517,18,2,0
E01033917,E09000003,Barnet,358,2,2,2,347,4,1,0
E01033918,E09000003,Barnet,249,3,3,2,226,12,3,0
E01033919,E09000003,Barnet,83,0,1,0,79,1,2,0
E01033920,E09000003,Barnet,135,4,48,27,43,13,0,0
E01033921,E09000003,Barnet,0,0,0,0,0,0,0,0
E01033922,E09000003,Barnet,94,2,16,16,33,26,1,0
E01033923,E09000003,Barnet,261,4,65,36,118,38,0,0
E01033924,E09000003,Barnet,464,6,58,74,293,17,16,0
E01033925,E09000003,Barnet,353,9,227,21,59,21,16,0
E01000325,E09000004,Bexley,583,22,521,18,10,4,8,0
E01000326,E09000004,Bexley,544,5,113,401,19,3,3,0
E01000327,E09000004,Bexley,604,92,411,35,56,9,1,0
E01000328,E09000004,Bexley,596,65,323,111,82,11,3,1
E01000329,E09000004,Bexley,517,26,370,55,57,6,3,0
E01000330,E09000004,Bexley,772,39,240,195,261,26,11,0
E01000331,E09000004,Bexley,617,25,358,127,96,10,1,0
E01000332,E09000004,Bexley,611,72,245,133,141,20,0,0
E01000333,E09000004,Bexley,793,49,103,228,348,18,47,0
E01000334,E09000004,Bexley,640,38,281,220,95,4,2,0
E01000335,E09000004,Bexley,638,30,219,244,125,16,4,0
E01000336,E09000004,Bexley,793,20,78,179,475,29,12,0
E01000337,E09000004,Bexley,663,23,161,274,168,35,2,0
E01000338,E09000004,Bexley,693,44,174,266,147,56,6,0
E01000339,E09000004,Bexley,602,24,391,155,21,8,3,0
E01000340,E09000004,Bexley,490,32,195,242,19,0,2,0
E01000341,E09000004,Bexley,610,71,349,136,49,5,0,0
E01000342,E09000004,Bexley,773,50,153,466,99,4,1,0
E01000343,E09000004,Bexley,550,35,303,171,16,0,25,0
E01000344,E09000004,Bexley,646,47,401,136,27,17,18,0
E01000345,E09000004,Bexley,487,31,309,143,2,1,1,0
E01000346,E09000004,Bexley,625,16,196,407,3,2,1,0
E01000347,E09000004,Bexley,618,12,116,408,63,1,18,0
E01000348,E09000004,Bexley,523,80,426,12,3,2,0,0
E01000349,E09000004,Bexley,650,149,429,27,39,5,1,0
E01000350,E09000004,Bexley,521,10,300,183,6,5,17,0
E01000351,E09000004,Bexley,616,59,282,271,3,0,1,0
E01000352,E09000004,Bexley,676,51,245,149,180,23,28,0
E01000353,E09000004,Bexley,662,109,488,62,2,0,1,0
E01000354,E09000004,Bexley,623,18,325,141,127,10,2,0
E01000355,E09000004,Bexley,613,74,429,104,6,0,0,0
E01000356,E09000004,Bexley,628,30,538,19,10,5,26,0
E01000357,E09000004,Bexley,488,7,474,3,2,1,1,0
E01000358,E09000004,Bexley,659,26,348,115,125,33,12,0
E01000359,E09000004,Bexley,488,14,442,9,16,0,7,0
E01000360,E09000004,Bexley,662,67,178,198,100,45,74,0
E01000361,E09000004,Bexley,602,76,299,188,31,6,2,0
E01000362,E09000004,Bexley,626,72,345,108,93,4,4,0
E01000363,E09000004,Bexley,565,164,307,31,46,16,1,0
E01000364,E09000004,Bexley,651,113,361,27,142,7,1,0
E01000365,E09000004,Bexley,700,40,317,65,224,49,5,0
E01000366,E09000004,Bexley,655,45,296,206,92,14,2,0
E01000367,E09000004,Bexley,605,16,333,158,95,2,1,0
E01000368,E09000004,Bexley,632,7,379,93,146,7,0,0
E01000369,E09000004,Bexley,626,20,349,204,42,9,2,0
E01000370,E09000004,Bexley,649,95,337,128,78,1,10,0
E01000371,E09000004,Bexley,634,15,424,48,134,11,2,0
E01000372,E09000004,Bexley,593,33,408,48,100,3,1,0
E01000373,E09000004,Bexley,688,5,24,109,540,9,1,0
E01000374,E09000004,Bexley,534,12,314,199,9,0,0,0
E01000375,E09000004,Bexley,565,10,275,233,44,1,2,0
E01000376,E09000004,Bexley,606,21,301,234,45,3,2,0
E01000377,E09000004,Bexley,649,34,288,139,177,9,2,0
E01000379,E09000004,Bexley,663,72,317,217,41,11,5,0
E01000380,E09000004,Bexley,758,10,240,127,369,11,1,0
E01000381,E09000004,Bexley,660,44,321,74,196,20,3,2
E01000382,E09000004,Bexley,587,33,444,20,70,15,5,0
E01000383,E09000004,Bexley,633,105,357,111,47,4,7,2
E01000384,E09000004,Bexley,780,66,214,220,251,25,4,0
E01000385,E09000004,Bexley,770,17,188,231,310,11,13,0
E01000386,E09000004,Bexley,659,11,79,152,400,14,1,2
E01000387,E09000004,Bexley,618,31,492,25,59,8,3,0
E01000388,E09000004,Bexley,621,92,471,28,21,9,0,0
E01000389,E09000004,Bexley,714,153,238,80,226,16,1,0
E01000390,E09000004,Bexley,515,87,270,92,62,3,1,0
E01000391,E09000004,Bexley,644,10,318,306,5,2,3,0
E01000392,E09000004,Bexley,695,10,199,103,290,27,66,0
E01000393,E09000004,Bexley,640,20,288,287,15,15,15,0
E01000394,E09000004,Bexley,624,37,297,130,131,11,18,0
E01000395,E09000004,Bexley,499,15,394,84,2,1,3,0
E01000396,E09000004,Bexley,507,5,229,270,3,0,0,0
E01000398,E09000004,Bexley,611,17,395,188,10,1,0,0
E01000399,E09000004,Bexley,619,46,402,33,112,9,17,0
E01000400,E09000004,Bexley,590,13,425,37,102,9,4,0
E01000401,E09000004,Bexley,637,16,365,138,79,20,19,0
E01000402,E09000004,Bexley,660,67,122,128,306,36,1,0
E01000403,E09000004,Bexley,990,49,189,93,623,24,11,1
E01000404,E09000004,Bexley,959,26,75,181,644,23,10,0
E01000405,E09000004,Bexley,522,19,111,312,66,10,1,3
E01000406,E09000004,Bexley,594,24,152,278,88,51,1,0
E01000407,E09000004,Bexley,630,130,224,73,176,27,0,0
E01000408,E09000004,Bexley,570,26,129,372,24,8,9,2
E01000409,E09000004,Bexley,649,7,625,8,6,1,2,0
E01000410,E09000004,Bexley,594,21,214,327,8,2,22,0
E01000411,E09000004,Bexley,551,10,230,304,4,1,2,0
E01000412,E09000004,Bexley,632,18,293,254,55,6,6,0
