LSOA code,local authority code,local authority name,All households ,Detached,Semi-detached,Terraced,Purpose built flat,Flat in a converted/ shared house (includes all households in shared dwellings),Flat in a commercial building,Caravan / other mobile or temporary structure
E01000001,E09000001,City of London,876,0,2,9,835,11,19,0
E01000002,E09000001,City of London,830,0,1,32,783,1,13,0
E01000003,E09000001,City of London,817,0,0,3,805,5,4,0
E01000005,E09000001,City of London,467,1,1,0,438,10,17,0
E01032739,E09000001,City of London,676,6,4,15,494,67,90,0
E01032740,E09000001,City of London,719,8,4,12,478,68,149,0
E01000006,E09000002,Barking and Dagenham,543,32,80,295,115,19,2,0
E01000007,E09000002,Barking and Dagenham,612,14,16,50,493,25,14,0
E01000008,E09000002,Barking and Dagenham,521,7,11,30,468,5,0,0
E01000009,E09000002,Barking and Dagenham,638,33,56,233,243,53,20,0
E01000011,E09000002,Barking and Dagenham,457,41,65,228,34,85,4,0
E01000012,E09000002,Barking and Dagenham,698,31,67,114,464,20,1,1
E01000013,E09000002,Barking and Dagenham,773,35,151,513,50,12,12,0
E01000014,E09000002,Barking and Dagenham,515,16,73,336,64,25,1,0
E01000015,E09000002,Barking and Dagenham,836,24,145,421,233,13,0,0
E01000016,E09000002,Barking and Dagenham,626,30,98,453,25,10,10,0
E01000017,E09000002,Barking and Dagenham,609,20,120,393,41,34,1,0
E01000018,E09000002,Barking and Dagenham,612,28,141,415,16,12,0,0
E01000019,E09000002,Barking and Dagenham,504,23,146,299,23,8,5,0
E01000020,E09000002,Barking and Dagenham,650,28,172,340,84,20,6,0
E01000021,E09000002,Barking and Dagenham,593,15,182,241,78,23,54,0
E01000022,E09000002,Barking and Dagenham,474,22,171,261,14,6,0,0
E01000024,E09000002,Barking and Dagenham,456,22,132,281,14,5,2,0
E01000025,E09000002,Barking and Dagenham,629,32,122,429,42,4,0,0
E01000027,E09000002,Barking and Dagenham,641,38,168,280,143,12,0,0
E01000028,E09000002,Barking and Dagenham,612,19,78,199,307,8,1,0
E01000029,E09000002,Barking and Dagenham,690,25,330,210,111,11,3,0
E01000030,E09000002,Barking and Dagenham,770,14,127,163,444,12,10,0
E01000031,E09000002,Barking and Dagenham,598,28,188,264,92,22,4,0
E01000032,E09000002,Barking and Dagenham,631,27,259,166,120,21,38,0
E01000033,E09000002,Barking and Dagenham,533,11,156,185,176,3,1,1
E01000034,E09000002,Barking and Dagenham,517,36,247,160,57,17,0,0
E01000035,E09000002,Barking and Dagenham,567,9,88,286,139,20,25,0
E01000036,E09000002,Barking and Dagenham,469,17,173,230,32,14,3,0
E01000037,E09000002,Barking and Dagenham,579,16,194,322,44,3,0,0
E01000038,E09000002,Barking and Dagenham,563,7,235,255,56,6,4,0
E01000039,E09000002,Barking and Dagenham,659,31,163,338,111,9,3,4
E01000040,E09000002,Barking and Dagenham,640,24,89,304,183,21,19,0
E01000041,E09000002,Barking and Dagenham,607,25,113,432,31,6,0,0
