local authority code,local authority name,LSOA code,All usual residents aged 16-74 ,Economically active: Employee: Full-time,Economically active: Employee: Part-time,Economically active: Full-time student,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Unemployed,Economically inactive: Long-term sick or disabled,Economically inactive: Looking after home or family,Economically inactive: Other,Economically inactive: Retired,Economically inactive:  Full-time students,,
E09000002,Barking and Dagenham,E01000076,1296,447,153,53,11,7,70,21,94,98,96,45,114,87,,
E09000002,Barking and Dagenham,E01000077,1031,350,136,43,16,3,57,21,84,72,69,31,81,68,,
E09000002,Barking and Dagenham,E01000078,1144,371,129,48,21,2,40,24,87,66,107,59,112,78,,
E09000002,Barking and Dagenham,E01000079,1026,344,129,29,10,4,44,20,69,76,76,43,120,62,,
E09000002,Barking and Dagenham,E01000080,1062,364,133,40,13,6,39,30,96,67,65,37,93,79,,
E09000002,Barking and Dagenham,E01000081,1173,433,142,48,18,2,58,18,69,69,92,53,102,69,,
E09000002,Barking and Dagenham,E01000082,1158,411,143,35,18,4,44,24,80,83,84,41,119,72,,
E09000002,Barking and Dagenham,E01000083,1155,403,139,34,12,5,49,39,81,67,97,44,116,69,,
E09000002,Barking and Dagenham,E01000084,920,318,135,43,7,4,47,23,63,35,78,34,81,52,,
E09000002,Barking and Dagenham,E01000085,1162,367,138,37,17,2,46,34,104,87,94,59,118,59,,
E09000002,Barking and Dagenham,E01000086,985,378,124,44,13,2,45,17,72,47,62,32,89,60,,
E09000002,Barking and Dagenham,E01000087,942,328,124,32,17,5,46,21,63,52,61,36,91,66,,
E09000002,Barking and Dagenham,E01000088,1216,441,148,67,13,6,65,31,75,57,80,50,107,76,,
E09000002,Barking and Dagenham,E01000089,1143,415,168,51,11,2,72,18,73,37,97,30,80,89,,
E09000002,Barking and Dagenham,E01000090,1068,381,133,53,12,9,60,31,67,40,57,37,94,94,,
E09000002,Barking and Dagenham,E01000091,1069,356,113,57,20,5,36,18,93,59,102,43,82,85,,
E09000002,Barking and Dagenham,E01000093,1048,310,133,58,20,6,47,21,95,89,87,48,63,71,,
E09000002,Barking and Dagenham,E01000094,922,366,110,51,12,4,62,32,70,33,54,49,15,64,,
E09000002,Barking and Dagenham,E01000095,1061,398,142,39,18,3,55,29,77,47,67,33,69,84,,
E09000002,Barking and Dagenham,E01000096,1188,340,151,77,15,9,40,15,118,70,117,63,52,121,,
E09000002,Barking and Dagenham,E01000097,1089,369,161,24,14,7,44,32,66,62,92,26,124,68,,
E09000002,Barking and Dagenham,E01000098,1186,417,130,52,14,4,49,28,109,65,95,49,84,90,,
E09000002,Barking and Dagenham,E01000099,1191,424,178,33,14,3,65,19,91,68,76,40,110,70,,
E09000002,Barking and Dagenham,E01000100,1114,399,130,43,13,6,48,20,96,63,79,27,118,72,,
E09000002,Barking and Dagenham,E01000101,1078,402,140,32,21,6,39,13,62,63,85,36,109,70,,
E09000002,Barking and Dagenham,E01000102,1057,398,120,28,14,4,44,21,80,68,83,27,110,60,,
E09000002,Barking and Dagenham,E01000103,1179,395,144,67,18,5,45,25,103,63,77,44,85,108,,
E09000002,Barking and Dagenham,E01000104,1216,418,143,57,18,0,48,19,131,68,76,58,91,89,,
E09000002,Barking and Dagenham,E01000105,1441,507,151,44,19,1,54,24,145,107,98,63,146,82,,
E09000002,Barking and Dagenham,E01000106,1355,483,142,50,12,3,58,22,102,111,100,67,125,80,,
E09000002,Barking and Dagenham,E01000107,1117,406,145,45,13,4,58,32,72,37,67,36,139,63,,
E09000002,Barking and Dagenham,E01000108,1156,470,155,44,13,4,54,14,78,38,53,36,130,67,,
E09000002,Barking and Dagenham,E01000110,1026,410,131,38,13,4,62,24,54,38,54,15,120,63,,
E09000002,Barking and Dagenham,E01000111,1256,442,160,48,12,6,71,29,88,48,98,30,132,92,,
E09000002,Barking and Dagenham,E01000112,1357,544,161,41,20,7,82,32,88,44,86,49,109,94,,
E09000002,Barking and Dagenham,E01000113,1196,490,159,39,11,5,52,23,83,34,76,38,118,68,,
E09000002,Barking and Dagenham,E01000114,1450,544,174,64,23,7,80,36,65,54,105,58,156,84,,
E09000002,Barking and Dagenham,E01032580,961,259,131,45,14,9,51,30,64,54,88,49,67,100,,
E09000002,Barking and Dagenham,E01033587,1140,441,112,38,27,8,61,32,102,47,108,56,37,71,,
E09000002,Barking and Dagenham,E01034469,212,75,34,8,4,0,6,5,15,12,5,4,30,14,,
E09000002,Barking and Dagenham,E01034470,978,363,134,32,20,5,41,22,68,30,73,26,89,75,,
E09000002,Barking and Dagenham,E01034471,635,215,66,30,19,4,33,18,52,33,34,26,63,42,,
E09000002,Barking and Dagenham,E01034472,190,106,25,2,1,2,11,2,15,6,4,5,9,2,,
E09000002,Barking and Dagenham,E01034473,659,252,60,51,8,4,39,21,42,12,28,24,39,79,,
E09000002,Barking and Dagenham,E01034474,1500,591,124,95,22,5,48,37,103,44,144,75,32,180,,
E09000002,Barking and Dagenham,E01034475,1040,326,110,48,14,2,51,39,106,56,82,44,75,87,,
E09000002,Barking and Dagenham,E01034476,407,158,47,18,5,3,12,11,39,14,36,22,15,27,,
E09000002,Barking and Dagenham,E01034477,326,143,37,19,4,2,21,15,25,6,21,12,3,18,,
E09000002,Barking and Dagenham,E01034478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
E09000002,Barking and Dagenham,E01034479,2157,616,282,107,23,17,89,60,216,139,205,103,102,198,,
E09000003,Barnet,E01000115,1066,333,147,34,61,12,71,53,32,23,63,26,125,86,,
E09000003,Barnet,E01000116,1228,456,191,36,40,6,96,51,37,23,46,23,161,62,,
E09000003,Barnet,E01000117,1314,506,155,26,36,8,96,60,68,35,58,21,162,83,,
E09000003,Barnet,E01000118,1390,533,203,40,39,15,84,54,79,32,59,26,141,85,,
E09000003,Barnet,E01000119,1241,444,140,22,47,6,81,55,49,31,59,26,187,94,,
E09000003,Barnet,E01000120,1081,374,129,36,38,14,69,45,32,19,55,28,147,95,,
E09000003,Barnet,E01000121,988,303,135,26,9,3,47,28,74,80,78,35,71,99,,
E09000003,Barnet,E01000122,1088,426,129,21,46,10,78,41,37,25,38,23,128,86,,
E09000003,Barnet,E01000123,1283,517,160,36,32,9,93,58,73,36,56,43,103,67,,
E09000003,Barnet,E01000124,1206,470,141,40,20,5,71,45,73,44,76,38,100,83,,
E09000003,Barnet,E01000126,1485,469,177,94,15,9,83,49,118,76,116,55,57,167,,
E09000003,Barnet,E01000127,1074,371,130,46,16,1,76,34,73,60,72,35,72,88,,
E09000003,Barnet,E01000128,1283,442,156,60,25,6,93,45,70,38,88,45,106,109,,
E09000003,Barnet,E01000129,1252,356,168,71,19,7,72,44,73,67,93,88,94,100,,
E09000003,Barnet,E01000130,1183,412,149,42,20,11,61,44,81,72,67,45,74,105,,
E09000003,Barnet,E01000131,1342,440,165,59,36,4,96,50,53,65,83,48,135,108,,
E09000003,Barnet,E01000132,1027,351,136,48,18,4,70,27,64,33,67,50,76,83,,
E09000003,Barnet,E01000133,1125,371,135,43,20,5,59,30,74,73,75,47,94,99,,
E09000003,Barnet,E01000134,1181,395,173,41,16,11,84,35,92,40,61,49,89,95,,
E09000003,Barnet,E01000135,1123,360,116,39,56,10,71,75,47,22,68,45,82,132,,
E09000003,Barnet,E01000136,1040,366,88,20,68,17,86,63,20,18,86,25,88,95,,
E09000003,Barnet,E01000137,1177,389,138,37,15,1,73,39,64,75,82,59,108,97,,
E09000003,Barnet,E01000138,1063,325,127,42,34,10,90,52,48,25,69,35,95,111,,
E09000003,Barnet,E01000139,1103,401,108,34,47,10,88,62,61,25,62,33,76,96,,
E09000003,Barnet,E01000140,1296,453,126,58,39,10,99,68,70,46,44,52,84,147,,
E09000003,Barnet,E01000141,1656,635,182,91,32,15,124,95,104,52,71,39,58,158,,
E09000003,Barnet,E01000142,1770,693,208,53,37,17,133,84,96,77,104,69,81,118,,
E09000003,Barnet,E01000143,1077,306,121,87,23,9,55,44,64,69,62,23,81,133,,
E09000003,Barnet,E01000144,1201,462,125,50,45,5,87,69,49,25,66,30,55,133,,
E09000003,Barnet,E01000145,992,283,116,33,43,8,89,59,47,14,88,38,66,108,,
E09000003,Barnet,E01000146,1352,535,127,59,34,12,114,83,78,36,46,39,62,127,,
E09000003,Barnet,E01000147,1335,455,164,39,33,5,115,46,54,27,76,67,133,121,,
E09000003,Barnet,E01000150,1532,565,205,74,37,8,98,54,79,37,87,47,143,98,,
E09000003,Barnet,E01000151,1127,301,151,50,13,6,54,33,97,64,102,67,64,125,,
E09000003,Barnet,E01000152,1116,290,178,58,10,6,52,35,87,55,93,44,69,139,,
E09000003,Barnet,E01000153,1107,302,150,53,9,7,42,36,70,76,83,54,123,102,,
E09000003,Barnet,E01000154,979,287,111,41,23,4,70,33,58,77,64,44,79,88,,
E09000003,Barnet,E01000156,1418,548,155,56,40,9,144,61,53,31,64,40,117,100,,
E09000003,Barnet,E01000157,1172,525,122,22,20,2,91,60,64,37,69,19,76,65,,
E09000003,Barnet,E01000158,1418,504,177,67,39,3,119,51,74,58,67,47,117,95,,
E09000003,Barnet,E01000159,1271,420,153,49,37,10,83,57,69,36,57,45,143,112,,
E09000003,Barnet,E01000160,1654,736,147,42,55,12,129,98,56,37,76,51,112,103,,
E09000003,Barnet,E01000161,1093,372,108,30,21,5,213,43,35,36,33,32,77,88,,
E09000003,Barnet,E01000162,1146,401,155,32,31,9,82,39,63,48,62,31,104,89,,
E09000003,Barnet,E01000163,1211,447,146,27,17,7,84,33,99,92,62,39,76,82,,
E09000003,Barnet,E01000164,1225,413,156,46,18,8,98,53,74,64,77,34,89,95,,
E09000003,Barnet,E01000165,1427,521,149,28,40,10,202,63,66,30,75,49,113,81,,
E09000003,Barnet,E01000166,1144,418,137,25,32,11,80,36,49,38,65,28,152,73,,
E09000003,Barnet,E01000167,977,366,128,37,12,3,54,41,54,30,50,34,97,71,,
E09000003,Barnet,E01000168,1140,379,140,25,48,12,72,60,36,25,65,33,166,79,,
E09000003,Barnet,E01000169,1121,466,143,19,34,13,91,48,40,37,47,16,110,57,,
E09000003,Barnet,E01000170,1172,463,134,36,32,3,74,46,55,49,60,21,125,74,,
E09000003,Barnet,E01000171,1379,614,164,30,16,7,99,42,81,51,74,51,64,86,,
E09000003,Barnet,E01000172,1185,414,140,27,34,8,81,51,41,24,67,29,139,130,,
E09000003,Barnet,E01000173,1256,510,160,30,26,3,72,53,42,36,57,26,146,95,,
E09000003,Barnet,E01000174,1265,488,167,34,20,5,74,49,84,47,56,27,131,83,,
E09000003,Barnet,E01000175,1138,434,160,33,24,6,80,53,57,25,50,19,146,51,,
E09000003,Barnet,E01000176,1187,408,132,34,18,6,84,38,61,73,68,31,156,78,,
E09000003,Barnet,E01000177,1287,599,132,28,22,6,128,83,36,13,44,19,106,71,,
E09000003,Barnet,E01000178,1267,526,137,37,37,5,98,72,33,34,60,24,109,95,,
E09000003,Barnet,E01000179,1294,659,144,28,26,3,119,56,43,28,42,13,80,53,,
E09000003,Barnet,E01000180,1188,521,125,32,33,5,67,34,36,44,49,21,134,87,,
E09000003,Barnet,E01000181,1319,612,127,39,34,4,123,75,53,18,30,20,114,70,,
E09000003,Barnet,E01000182,1320,638,118,29,39,1,111,47,41,35,38,16,125,82,,
E09000003,Barnet,E01000183,1025,454,106,21,34,8,73,53,22,19,46,23,106,60,,
E09000003,Barnet,E01000184,1005,342,121,41,19,4,60,32,64,48,61,29,97,87,,
E09000003,Barnet,E01000185,1092,351,107,58,18,1,71,39,90,78,64,33,84,98,,
E09000003,Barnet,E01000186,1080,361,170,29,58,10,71,64,31,24,50,17,113,82,,
E09000003,Barnet,E01000187,1084,353,157,29,32,5,87,48,49,24,65,39,123,73,,
E09000003,Barnet,E01000188,1127,368,138,26,67,14,145,59,25,11,61,29,107,77,,
E09000003,Barnet,E01000189,1248,342,191,82,9,3,49,29,120,70,101,63,70,119,,
E09000003,Barnet,E01000190,1083,343,145,30,50,8,100,44,35,20,69,32,115,92,,
E09000003,Barnet,E01000191,1056,353,153,15,48,9,89,46,33,20,54,21,130,85,,
E09000003,Barnet,E01000192,1292,409,174,41,58,11,114,63,49,25,79,54,111,104,,
E09000003,Barnet,E01000193,1235,393,164,43,56,7,89,69,43,31,54,37,111,138,,
E09000003,Barnet,E01000194,1230,433,149,49,46,4,105,47,59,32,55,48,104,99,,
E09000003,Barnet,E01000195,1276,413,149,50,11,7,87,35,88,89,81,50,117,99,,
E09000003,Barnet,E01000196,1423,596,141,45,30,10,133,83,65,25,48,47,104,96,,
E09000003,Barnet,E01000197,1428,596,164,66,34,10,111,67,70,30,56,32,116,76,,
E09000003,Barnet,E01000198,1313,446,155,26,67,11,120,88,30,23,86,44,99,118,,
E09000003,Barnet,E01000199,1114,349,142,24,50,8,95,84,25,20,61,34,146,76,,
E09000003,Barnet,E01000200,1292,453,138,31,48,12,93,77,47,24,70,45,136,118,,
E09000003,Barnet,E01000201,1103,297,134,38,87,20,76,79,32,9,78,43,88,122,,
E09000003,Barnet,E01000202,1265,459,143,32,59,10,99,91,36,19,71,26,107,113,,
E09000003,Barnet,E01000203,1227,362,138,66,41,13,91,56,61,43,70,37,80,169,,
E09000003,Barnet,E01000204,1311,490,152,30,52,4,111,75,58,27,58,30,133,91,,
E09000003,Barnet,E01000205,1064,387,126,17,46,5,97,83,29,10,60,24,111,69,,
E09000003,Barnet,E01000206,1069,353,89,21,74,21,64,66,33,12,100,52,78,106,,
E09000003,Barnet,E01000207,1107,357,114,19,76,12,87,77,30,13,82,30,117,93,,
E09000003,Barnet,E01000208,1141,434,108,25,73,21,75,75,31,18,75,30,100,76,,
E09000003,Barnet,E01000209,1064,333,101,17,50,8,114,88,23,15,48,19,190,58,,
E09000003,Barnet,E01000210,1071,433,116,20,53,8,93,63,26,18,66,24,85,66,,
E09000003,Barnet,E01000211,1568,639,175,54,37,9,124,82,76,36,52,59,90,135,,
E09000003,Barnet,E01000212,1334,475,119,32,88,20,104,90,27,10,85,57,131,96,,
E09000003,Barnet,E01000213,957,298,108,15,74,13,55,47,21,2,96,41,92,95,,
E09000003,Barnet,E01000214,1001,447,88,39,30,12,90,41,30,10,56,20,59,79,,
E09000003,Barnet,E01000215,1251,390,186,41,52,9,79,71,38,24,103,45,93,120,,
E09000003,Barnet,E01000216,1294,478,188,35,49,7,100,62,57,24,85,43,77,89,,
E09000003,Barnet,E01000217,1150,353,154,28,59,9,95,61,37,28,114,37,68,107,,
E09000003,Barnet,E01000218,1203,391,174,41,32,8,93,55,42,29,98,60,63,117,,
E09000003,Barnet,E01000219,1279,410,175,39,26,10,98,81,74,23,96,43,79,125,,
E09000003,Barnet,E01000220,1235,410,169,49,33,10,91,67,44,64,84,43,65,106,,
E09000003,Barnet,E01000221,878,253,101,40,23,2,42,34,66,65,66,39,56,91,,
E09000003,Barnet,E01000222,1128,328,137,50,29,13,76,46,72,40,78,42,111,106,,
E09000003,Barnet,E01000223,922,297,111,39,26,5,62,44,55,52,58,34,69,70,,
E09000003,Barnet,E01000224,1130,346,124,38,36,10,81,56,66,37,85,51,86,114,,
E09000003,Barnet,E01000225,980,243,176,30,50,12,69,43,28,15,97,39,79,99,,
E09000003,Barnet,E01000226,1212,370,170,61,22,7,76,49,72,72,70,50,99,94,,
E09000003,Barnet,E01000227,1285,487,175,38,22,9,105,55,49,20,62,28,143,92,,
E09000003,Barnet,E01000228,1011,363,137,36,44,12,72,55,26,14,50,28,87,87,,
E09000003,Barnet,E01000229,1191,419,139,39,23,11,85,54,82,59,62,45,84,89,,
E09000003,Barnet,E01000230,1206,396,175,21,48,9,102,63,32,25,56,41,141,97,,
E09000003,Barnet,E01000231,1294,478,176,43,32,5,106,64,60,25,66,26,100,113,,
E09000003,Barnet,E01000232,1304,467,160,25,46,6,90,53,49,67,61,43,147,90,,
E09000003,Barnet,E01000233,1312,508,153,41,36,9,109,59,37,36,60,39,126,99,,
E09000003,Barnet,E01000234,1239,492,147,33,45,0,87,60,49,21,81,34,118,72,,
E09000003,Barnet,E01000235,1192,405,152,58,34,6,86,32,67,54,68,36,81,113,,
E09000003,Barnet,E01000236,1213,372,192,60,42,7,89,55,52,32,87,35,67,123,,
E09000003,Barnet,E01000237,1554,564,146,106,68,15,132,74,45,17,80,41,60,206,,
E09000003,Barnet,E01000238,1319,408,172,65,44,7,103,80,74,24,84,36,87,135,,
E09000003,Barnet,E01000239,1572,618,123,67,38,12,112,69,75,47,88,63,80,180,,
E09000003,Barnet,E01000240,1254,397,130,56,36,9,101,65,53,38,59,65,111,134,,
E09000003,Barnet,E01000241,1339,447,138,59,50,16,122,92,43,21,57,43,118,133,,
E09000003,Barnet,E01000242,1075,336,127,35,51,4,66,56,41,32,70,31,111,115,,
E09000003,Barnet,E01000243,1443,470,141,107,32,5,129,76,54,20,46,43,105,215,,
E09000003,Barnet,E01000244,1332,394,122,108,42,3,82,48,33,31,38,45,102,284,,
E09000003,Barnet,E01000245,1460,478,155,88,26,7,93,53,71,73,67,76,108,165,,
E09000003,Barnet,E01000246,1093,410,137,25,40,12,65,56,31,23,52,22,164,56,,
E09000003,Barnet,E01000247,1293,584,141,35,31,5,100,48,60,41,53,19,105,71,,
E09000003,Barnet,E01000248,1183,473,123,29,31,9,103,77,50,25,59,17,114,73,,
E09000003,Barnet,E01000249,1099,409,177,38,42,6,83,53,32,21,40,14,109,75,,
E09000003,Barnet,E01000250,1634,682,189,59,41,7,133,74,48,54,82,27,149,89,,
E09000003,Barnet,E01000251,1422,606,151,30,22,3,90,42,54,90,46,42,159,87,,
E09000003,Barnet,E01000252,1180,470,139,38,37,4,81,55,54,30,43,30,120,79,,
E09000003,Barnet,E01000253,1183,301,144,13,89,15,91,71,33,28,80,30,194,94,,
E09000003,Barnet,E01000254,1082,427,124,22,49,8,82,51,38,17,56,20,150,38,,
E09000003,Barnet,E01000255,1081,348,134,32,24,7,77,52,51,26,59,28,130,113,,
E09000003,Barnet,E01000256,1306,488,153,25,72,9,83,73,43,16,61,43,127,113,,
E09000003,Barnet,E01000257,1252,360,132,47,13,7,147,56,97,68,94,35,78,118,,
E09000003,Barnet,E01000258,1192,441,140,28,55,8,99,81,35,22,43,24,127,89,,
E09000003,Barnet,E01000259,1871,747,204,62,60,6,132,66,81,41,108,51,165,148,,
E09000003,Barnet,E01000260,1445,525,157,58,51,7,126,71,65,33,90,57,101,104,,
E09000003,Barnet,E01000261,1069,386,124,17,55,12,72,57,33,10,52,20,121,110,,
E09000003,Barnet,E01000263,1064,369,134,35,74,15,88,67,13,4,71,23,97,74,,
E09000003,Barnet,E01000264,1228,413,135,53,60,10,81,68,50,48,78,51,99,82,,
E09000003,Barnet,E01000265,1392,512,170,33,34,6,102,65,74,48,85,42,121,100,,
E09000003,Barnet,E01000266,1124,372,162,39,56,10,92,47,34,12,50,23,154,73,,
E09000003,Barnet,E01000267,1152,453,159,47,36,6,83,41,44,18,44,25,120,76,,
E09000003,Barnet,E01000268,1265,535,139,35,35,7,89,53,65,36,80,31,86,74,,
E09000003,Barnet,E01000269,1034,402,153,37,30,3,72,41,37,27,37,19,121,55,,
E09000003,Barnet,E01000270,1089,466,123,24,16,4,86,47,24,27,48,17,143,64,,
E09000003,Barnet,E01000271,1033,371,114,26,49,18,75,65,36,16,54,28,126,55,,
E09000003,Barnet,E01000272,957,320,93,30,78,15,72,52,19,13,55,20,119,71,,
E09000003,Barnet,E01000273,1104,430,123,23,35,10,65,42,30,49,45,35,143,74,,
E09000003,Barnet,E01000274,1333,491,186,34,40,9,84,48,58,57,74,32,123,97,,
E09000003,Barnet,E01000275,1184,485,139,29,43,7,76,52,37,36,55,28,124,73,,
